fl_date,carrier,tail_num,leg_idx,origin,dest,distance_km,sched_dep_min,sched_arr_min,actual_dep_min,actual_arr_min,dep_delay,arr_delay,carryover_delay,turnaround_buffer,symbolic_state,symbolic_event
2026-09-09,DAL,N125DA,1,LAS,SEA,1394.76,499,637,505,637,6,0,0,67,ND,LAS:ND
2026-09-09,DAL,N125DA,2,SEA,SLC,1106.6,704,823,704,823,0,0,0,54,ND,SEA:ND
2026-09-09,DAL,N125DA,3,SLC,JFK,3193.68,877,1174,877,1188,0,14,0,52,ND,SLC:ND
2026-09-09,DAL,N125DA,4,JFK,DEN,2610.01,1240,1490,1270,1530,30,40,0,66,MD,JFK:MD
2026-09-09,DAL,N125DA,5,DEN,CLT,2148.18,1596,1800,1624,1825,28,25,28,40,MD,DEN:MD
2026-09-09,SWA,N448SW,1,LAS,JFK,3609.32,457,773,457,784,0,11,0,62,ND,LAS:ND
2026-09-09,SWA,N448SW,2,JFK,SFO,4152.06,846,1211,853,1227,7,16,7,42,MD,JFK:MD
2026-09-09,SWA,N448SW,3,SFO,CLT,3687.27,1269,1591,1334,1657,65,66,0,64,SD,SFO:SD
2026-09-09,SWA,N448SW,4,CLT,DEN,2148.18,1721,1937,1750,1980,29,43,29,63,MD,CLT:MD
2026-09-09,SWA,N448SW,5,DEN,ORD,1426.0,2043,2184,2073,2230,30,46,30,42,SD,DEN:SD
2026-09-09,UAL,N181UA,1,SEA,DEN,1645.43,453,614,453,627,0,13,0,63,ND,SEA:ND
2026-09-09,UAL,N181UA,2,DEN,MIA,2748.54,690,942,699,948,9,6,9,44,ND,DEN:ND
2026-09-09,UAL,N181UA,3,MIA,LAS,3494.55,992,1313,1026,1351,34,38,0,55,MD,MIA:MD
2026-09-09,UAL,N181UA,4,LAS,MSP,2087.72,1406,1606,1417,1619,11,13,0,75,ND,LAS:ND
2026-09-09,UAL,N181UA,5,MSP,CLT,1496.28,1694,1839,1694,1856,0,17,0,54,MD,MSP:MD
2026-09-09,UAL,N510UA,1,LAS,DFW,1694.7,487,659,498,666,11,7,0,69,ND,LAS:ND
2026-09-09,UAL,N510UA,2,DFW,SFO,2352.0,735,955,735,970,0,15,0,75,MD,DFW:MD
2026-09-09,UAL,N510UA,3,SFO,CLT,3687.27,1045,1382,1045,1386,0,4,0,67,ND,SFO:ND
2026-09-09,UAL,N510UA,4,CLT,IAH,1466.22,1453,1606,1453,1606,0,0,0,54,ND,CLT:ND
2026-09-09,UAL,N510UA,5,IAH,BOS,2566.63,1660,1906,1663,1906,3,0,0,71,ND,IAH:ND
2026-09-09,DAL,N256DA,1,LAX,EWR,3940.63,479,835,479,854,0,19,0,56,MD,LAX:MD
2026-09-09,DAL,N256DA,2,EWR,DFW,2204.25,910,1111,921,1131,11,20,11,47,MD,EWR:MD
2026-09-09,DAL,N256DA,3,DFW,MIA,1802.65,1178,1355,1190,1372,12,17,0,61,MD,DFW:MD
2026-09-09,DAL,N256DA,4,MIA,BOS,2027.83,1433,1625,1444,1651,11,26,0,69,MD,MIA:MD
2026-09-09,DAL,N256DA,5,BOS,MCO,1805.67,1720,1897,1720,1905,0,8,0,72,ND,BOS:ND
2026-09-09,DAL,N991DA,1,MCO,BOS,1805.67,401,587,401,598,0,11,0,73,ND,MCO:ND
2026-09-09,DAL,N991DA,2,BOS,SFO,4341.08,671,1053,673,1076,2,23,0,71,MD,BOS:MD
2026-09-09,DAL,N991DA,3,SFO,JFK,4152.06,1147,1515,1163,1530,16,15,2,59,MD,SFO:MD
2026-09-09,DAL,N991DA,4,JFK,PHX,3457.99,1589,1908,1625,1951,36,43,10,45,MD,JFK:MD
2026-09-09,DAL,N991DA,5,PHX,MIA,3168.32,1996,2276,1997,2276,1,0,1,74,ND,PHX:ND
2026-09-09,SWA,N662SW,1,LAX,LAS,380.24,498,559,498,572,0,13,0,59,ND,LAX:ND
2026-09-09,SWA,N662SW,2,LAS,BOS,3822.26,631,981,631,989,0,8,0,63,ND,LAS:ND
2026-09-09,SWA,N662SW,3,BOS,EWR,322.68,1052,1116,1068,1126,16,10,3,47,ND,BOS:ND
2026-09-09,SWA,N662SW,4,EWR,SFO,4118.23,1173,1537,1180,1543,7,6,7,41,ND,EWR:ND
2026-09-09,SWA,N662SW,5,SFO,MSP,2551.59,1584,1831,1628,1889,44,58,0,54,SD,SFO:SD
2026-09-09,DAL,N334DA,1,DFW,ORD,1290.0,531,674,531,689,0,15,0,53,MD,DFW:MD
2026-09-09,DAL,N334DA,2,ORD,CLT,964.31,742,862,764,891,22,29,0,70,MD,ORD:MD
2026-09-09,DAL,N334DA,3,CLT,BWI,580.67,961,1045,981,1078,20,33,13,52,MD,CLT:MD
2026-09-09,DAL,N334DA,4,BWI,SEA,3748.12,1130,1467,1136,1479,6,12,6,62,ND,BWI:ND
2026-09-09,DAL,N334DA,5,SEA,JFK,3886.59,1541,1877,1579,1930,38,53,7,46,SD,SEA:SD
2026-09-09,UAL,N919UA,1,DEN,SEA,1645.43,468,629,468,648,0,19,0,57,MD,DEN:MD
2026-09-09,UAL,N919UA,2,SEA,SFO,1092.94,705,819,705,838,0,19,0,68,MD,SEA:MD
2026-09-09,UAL,N919UA,3,SFO,IAH,2627.7,906,1158,925,1186,19,28,12,46,MD,SFO:MD
2026-09-09,UAL,N919UA,4,IAH,MSP,1666.53,1232,1390,1252,1429,20,39,20,45,MD,IAH:MD
2026-09-09,UAL,N919UA,5,MSP,DFW,1372.59,1474,1615,1497,1645,23,30,23,50,MD,MSP:MD
2026-09-09,AAL,N985AA,1,MIA,ORD,1929.51,427,620,427,642,0,22,0,58,MD,MIA:MD
2026-09-09,AAL,N985AA,2,ORD,LAX,2801.93,700,966,737,1004,37,38,0,71,MD,ORD:MD
2026-09-09,AAL,N985AA,3,LAX,BWI,3739.99,1075,1405,1102,1441,27,36,27,43,MD,LAX:MD
2026-09-09,AAL,N985AA,4,BWI,ATL,927.2,1484,1584,1515,1625,31,41,10,60,MD,BWI:MD
2026-09-09,AAL,N985AA,5,ATL,SFO,3434.95,1685,1999,1687,2009,2,10,2,72,ND,ATL:ND
2026-09-09,AAL,N158AA,1,BOS,DFW,2508.97,420,657,420,667,0,10,0,47,ND,BOS:ND
2026-09-09,AAL,N158AA,2,DFW,LAX,1982.96,714,904,721,916,7,12,7,42,ND,DFW:ND
2026-09-09,AAL,N158AA,3,LAX,SLC,949.5,958,1076,965,1083,7,7,0,73,ND,LAX:ND
2026-09-09,AAL,N158AA,4,SLC,BWI,2993.56,1156,1426,1159,1433,3,7,0,60,ND,SLC:ND
2026-09-09,AAL,N158AA,5,BWI,CLT,580.67,1493,1568,1493,1589,0,21,0,59,MD,BWI:MD
2026-09-09,DAL,N109DA,1,MSP,SLC,1591.57,427,583,427,603,0,20,0,62,MD,MSP:MD
2026-09-09,DAL,N109DA,2,SLC,DEN,627.77,665,747,686,774,21,27,0,63,MD,SLC:MD
2026-09-09,DAL,N109DA,3,DEN,DFW,1031.3,837,961,842,983,5,22,5,59,MD,DEN:MD
2026-09-09,DAL,N109DA,4,DFW,SFO,2352.0,1042,1275,1045,1296,3,21,0,73,MD,DFW:MD
2026-09-09,DAL,N109DA,5,SFO,LAS,665.02,1369,1464,1370,1464,1,0,1,59,ND,SFO:ND
2026-09-09,AAL,N370AA,1,DEN,BWI,2393.68,514,736,543,777,29,41,0,61,MD,DEN:MD
2026-09-09,AAL,N370AA,2,BWI,IAH,1985.05,838,1029,840,1051,2,22,2,72,MD,BWI:MD
2026-09-09,AAL,N370AA,3,IAH,JFK,2277.28,1123,1331,1138,1364,15,33,15,45,MD,IAH:MD
2026-09-09,AAL,N370AA,4,JFK,LAS,3609.32,1409,1730,1476,1813,67,83,23,42,SD,JFK:SD
2026-09-09,AAL,N370AA,5,LAS,BOS,3822.26,1855,2189,1918,2258,63,69,48,56,SD,LAS:SD
2026-09-09,SWA,N674SW,1,ATL,DEN,1926.35,454,651,466,659,12,8,0,75,ND,ATL:ND
2026-09-09,SWA,N674SW,2,DEN,DFW,1031.3,734,842,734,863,0,21,0,59,MD,DEN:MD
2026-09-09,SWA,N674SW,3,DFW,JFK,2235.03,922,1126,935,1138,13,12,0,62,ND,DFW:ND
2026-09-09,SWA,N674SW,4,JFK,ORD,1188.05,1200,1323,1200,1343,0,20,0,62,MD,JFK:MD
